SLIDE_NO,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,"NH_SH 
LOCATION",LATITUDE,LONGITUDE,LENGTH,WIDTH,HEIGHT,LS_AREA,DEPTH,"LANDSLIDE ALERT
 CATEGORY",VOLUME,"RUN_OUT_
DISTANCE","MATERIAL 
TYPE","MOVEMENT 
TYPE","MOVEMENT 
RATE",ACTIVITY,DISTRIBUTION,STYLE,"FAILURE 
PLANE","FAILURE 
MECHANISM","INITIATION 
YEAR","REACTIVATION 
YEAR1","REACTIVATION 
YEAR2","REACTIVATION 
YEAR3",GEOMORPHOLOGY,GEOLOGY,STRUCTURE,"LANDUSE 
LANDCOVER",HYDROLOGICAL,"TRIGGERING 
FACTOR","PERSONS 
DEATH","PEOPLE 
AFFECTED","LIVESTOCK 
AFFECTED","COMMUNICATION 
AFFECTED","INFRASTRUCTURE 
AFFECTED","LANDUSE 
LANDCOVER 
AFFECTED",GEOSCIENTIFIC_CAUSES,"PRE-REMEDIAL 
MEASURES",REMARKS,Citation,REPORT,PHOTOS,ABSTRACT,,,
HP/CHA/43P/15/2019/81,Himachal Pradesh,Chamba,43P15,,Balera village,32.49936,75.94439,40.00,9.00,35.00,,0-0.5m,II,,42.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Lowly Dissected,Phyllite,,Sparsely vegetated,Damp,Rainfall,Nill,,,,Crack developed at houses near crown portion,Cultivated land on hill top damaged,"Cutting of link road
",Removal of debris material from the slope. Retaining wall of suitable size. Shifting of Settlement from near the crown portion,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/168,Himachal Pradesh,Kangra,44M13,Dhanuna,Dhanuna,31.99861,75.90064,9.00,10.00,7.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Road cutting,Proper disposal of houshold water ,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/52D3/2019/263,Himachal Pradesh,Chamba,52D03,Rehal Ban Jangal,,32.28484,76.14434,100.00,50.00,90.00,,2-5m,III,,90.00,Rock cum debris,Slide,Rapid,Active,Retrogressive,Multiple,shallow,Shallow planar failure,,,,,Lowly Dissected,Sandstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Toe erosion by deep nala, Weathered rock on steep slope",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/106,Himachal Pradesh,Chamba,43P15,,Sahlu village,32.38899,75.99771,20.00,12.00,15.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,Pebbly Conglomerate,,Moderately vegetated,Damp,Road Cutting & toe erosion by nala,Nill,,,Part of road blocked,,,"Loose boulder & weathered rock exposed on steep slope
",Removal of loose boulder,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/175,Himachal Pradesh,Kangra,43P16,,Diothi,32.04391,75.83410,22.00,20.00,20.00,,0-0.5m,III,,2.00,Debris and Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,mudstone with sandstone,,Densely vegetated,Damp,Road Cutting,Nill,,,,,,"Road widening, Incessant rainfall","Easing of slope, proper lined drainage along road",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/176,Himachal Pradesh,Kangra,43P16,,Diothi,32.04429,75.83504,12.00,11.00,10.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone with sandstone,,Densely vegetated,Damp,Road Cutting,Nill,,,,,,"Road widening, Incessant rainfall","Easing of slope, proper lined drainage along road",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/121,Himachal Pradesh,Chamba,43P15,,Kalidhar ,32.41544,75.99082,11.00,8.00,10.00,,0-1m,III,,9.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe erosion by nala and road widening,Slope easing,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/123,Himachal Pradesh,Chamba,43P15,,Kalidhar ,32.41305,75.98851,50.00,15.00,45.00,,0-1m,III,,8.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe erosion by Chakki River and road widening,Slope easing,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/124,Himachal Pradesh,Chamba,43P15,Kalidhar ,Kalidhar ,32.41016,75.98443,38.00,30.00,30.00,,2-3m,III,,90.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe erosion by Chakki River and road widening,"Retaining wall of suitable size and dimension required with sufficient weep holes,Proper drainage alignement from crown portion",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/125,Himachal Pradesh,Chamba,43P15,,Lahru Chowk,32.40684,75.98150,18.00,16.00,15.00,,0-1m,III,,2.00,Soil,Slide,Rapid,Active,Enlarging,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Mudstone with Sandstone,,Moderately vegetated,Wet,Rainfall,Nill,,,,,,Road cutting,"easing of slope, proper lined drainage along road",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/132,Himachal Pradesh,Chamba,43P15,,Berian,32.43214,75.95754,35.00,30.00,30.00,,2-3m,II,,70.00,Rock cum debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2005.00,,,,Moderately Dissected,Sandstone and conglomerate ,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Road widening, Incessant rainfall","Retaining wall of suitable size and dimension required with sufficient weep holes,Proper drainage alignement from crown portion",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/140,Himachal Pradesh,Chamba,43P15,,Taragarh,32.42457,75.95860,50.00,24.00,40.00,,0-1m,III,,5.00,Rock cum debris,Slide,Rapid,Active,Enlarging,Single,shallow,Shallow planar failure,2005.00,,,,Moderately Dissected,Sandstone and conglomerate ,,Moderately vegetated,Wet,Rainfall,Nill,,,,,,Road cutting,"easing of slope, proper lined drainage along road",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/198,Himachal Pradesh,Kangra,43P15,,Maira village,32.33073,75.81846,18.00,11.00,15.00,,2-3m,II,,6.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Terrace,Alluvium,,Moderately vegetated,Wet,Link Road Cutting,Nill,,,,two kachcha houses totally damaged,,"Lack of proper drainage in the hill slope for water discharge, Domestic water flow from the affected slope.Link road cutting","Manual easing of slope at crown, filling of road and adjoining damaged zone wall with proper inclined weep holes.",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/95,Himachal Pradesh,Chamba,52D03,,Binna,32.35958,76.02120,35.00,30.00,30.00,,0-1m,III,,5.00,Rock cum debris,Slide,Moderate,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,Mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Toe cutting by nala,
Excess rainfall",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/103,Himachal Pradesh,Chamba,52D03,,Along Chakki river(Dauth),32.39127,76.00519,100.00,40.00,70.00,,0-0.5m,III,,90.00,Rock and Debris,Slide,Rapid,Reactivated,Retrogressive,Multiple,shallow,Shallow planar failure,2005.00,,,,Moderately Dissected,Phyllite,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe cutting by nala,
Excess rainfall",,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/202,Himachal Pradesh,Kangra,43P15,,Bol Thakran,32.25900,75.94494,16.00,15.00,12.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2005.00,,,,Lowly Dissected,mudstone with sandstone,,Moderately vegetated,Dripping,Rainfall,Nill,,,,,,"Oversaturation of the loose debris material, unscientific slope cut",,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/52D/3/2019/63,Himachal Pradesh,Kangra,52D03,,Kanol  village,32.28907,76.22665,90.00,60.00,80.00,,0-1m,II,,200.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Lowly Dissected,Sandstone/mudstone,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,Road damaged,,Agriculture land damaged,"Toe erosion by Khauli Khad,
steep slope","Drainage diversion from crown portion, Slope easing..Proper toe support",Part of Road wash away from crown portion. Shifting of settlement from nearby crown portion,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/84,Himachal Pradesh,Chamba,43P15,,Kakira,32.45384,75.93111,37.00,16.00,30.00,,0-1m,III,,40.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2018.00,,,,Lowly Dissected,Sandstone and conglomerate ,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Toe erosion by nala
Weak lithology","Proper drainage algnment, Deep root plantation",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/52D3/2019/62,Himachal Pradesh,Kangra,52D03,,Kahkarra,32.27886,76.23810,120.00,65.00,100.00,,2-3m,III,,280.00,Rock and Debris,Slide,Rapid,Reactivated,Retrogressive,Multiple,shallow,Shallow planar failure,2015.00,,,,Lowly Dissected,Sandstone/mudstone,,Sparsely vegetated,Damp,Rainfall,Nill,,,,,,"Oversaturation of mudstone and debris material, Toe erosion by nala","Diversion of water from crown portion, stoppage of cultivation  near crown portion. Shifting of settlement nearby crown portion",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/184,Himachal Pradesh,Kangra,44M13,,Ban Bilwan,31.94903,75.93332,50.00,20.00,40.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2017.00,,,,Moderately Dissected,sandstone with varigated mudstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,Part of road block,,,Road cutting and incessant rainfall,Retaining wall of suitable size,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/162,Himachal Pradesh,Chamba,43P15,,Baduni,32.40132,75.94828,35.00,30.00,30.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,2018.00,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,Part of road damaged,,,Road cutting and incessant rainfall,Removal of Weathered material from slope,"Manual easing of slope at crown, filling of road and adjoining damaged zone wall with proper inclined weep holes.",,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/163,Himachal Pradesh,Kangra,43P15,,Baduni,32.40026,75.94721,64.00,22.00,60.00,,0-1m,III,,8.00,Debris,Slide,Rapid,Stabilized,Confined,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Road cutting and incessant rainfall,Deep root plantation,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/164,Himachal Pradesh,Kangra,43P15,,Baduni,32.39260,75.94515,215.00,70.00,55.00,,0-1m,II,,200.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,2018.00,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe cutting by nala, loose material on slope and steep slope",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/165,Himachal Pradesh,Kangra,43P15,,Baduni,32.39508,75.94388,70.00,24.00,60.00,,0-1m,III,,20.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone intercalated with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting and incessant rainfall,Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/166,Himachal Pradesh,Kangra,43P15,,Baduni,32.39405,75.93790,64.00,55.00,60.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,red coloured mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,partly road damaged,due to slide earlier temple was completely demaged,,Road cutting and incessant rainfall,Retaining wall of suitable size along the road and toe,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/170,Himachal Pradesh,Kangra,43P16,,Diothi,32.05412,75.82600,8.00,7.00,5.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,mudstone and sandstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Link Road cutting,Proper drainage alignment,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/171,Himachal Pradesh,Kangra,43P16,,Diothi,32.05375,75.82631,9.00,10.00,6.00,,0-0.5m,III,,1.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2010.00,,,,Moderately Dissected,mudstone and sandstone in equal ratio,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting and incessant rainfall,Slope easing,Proper toe support & drainage,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/173,Himachal Pradesh,Kangra,44M13,,Amroh,31.87639,75.95355,8.00,5.00,7.00,,0-0.5m,III,,3.00,Rock and Debris,Slide,Rapid,Active,Confined,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandtone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Incessant rainfall,Retaining wall of suitable size along the road,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/44M/13/2019/174,Himachal Pradesh,Kangra,44M13,,Amroh,31.86306,75.96543,7.00,10.00,5.00,,0-1m,III,,5.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,sandstone with mudstone,,Densely vegetated,Dry,Rainfall,Nill,,,,,,Toe erosion by Seon river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/110,Himachal Pradesh,Chamba,43P15,,Sahlu village,32.39388,75.99241,50.00,22.00,40.00,,0-1m,III,,8.00,Rock,Slide,Rapid,Active,Enlarging,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,sandstone with mudstone,"SO- 310/45->40, J1 II SO",Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Lack of toe support, Toe erosion by nala",,Weathered sandstone exposed near road,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/111,Himachal Pradesh,Chamba,43P15,,Sahlu village,32.39473,75.99259,40.00,13.00,30.00,,2-3m,III,,2.00,Rock and Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Weathered rock  exposed on road cut, unscientific road cut, lack of toe support",Slope easing. Retaining wall with sufficient inclined weep holes,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/510,Himachal Pradesh,Chamba,43P15,,Sahlu village,32.39619,75.98962,48.00,25.00,40.00,,0-1m,III,,70.00,Rock and Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Weathered rock  exposed on road cut, unscientific road cut, lack of toe support",Slope easing. Retaining wall with sufficient inclined weep holes at road level,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/115,Himachal Pradesh,Chamba,43P15,,Lahru,32.40441,75.97986,11.00,8.00,10.00,,0-1m,III,,1.00,Alluvium,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Terrace,Mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe erosion by River,Proper Toe support is urgently required because Road and settlement at crown portion may affect during rainy season,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/113,Himachal Pradesh,Chamba,43P15,,Parchor,32.40158,75.99188,80.00,30.00,75.00,,0-1m,III,,100.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Toe erosion by River,,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/114,Himachal Pradesh,Chamba,43P15,,Sahlu village,32.39851,75.98993,65.00,35.00,40.00,,0-0.5m,III,,30.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,Part of road affected,,,Loose debris saturation by rainfall,Slope easing,Culvert is required,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/169,Himachal Pradesh,Kangra,43P16,,Diothi,32.05469,75.82573,8.00,6.00,5.00,,0-1m,III,,1.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,equal amount of mudstone and sandstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Loose debris saturation by rainfall,"Slope easing, Proper drainage diversion from affected slope",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/119,Himachal Pradesh,Chamba,43P15,,Jatroon,32.41650,75.99015,45.00,20.00,40.00,,0-1m,III,,90.00,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Road cutting through Weathered rock mass. Toe cutting by River,Removal of debris material from the slope. Retaining wall of suitable size and dimension.,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
